"global_id";"ID";"Name";"Text";"Photo";"AdmArea";"District";"Location";"LocationInfo";"InstallationDate";"InstallationComment";"Form";"Details";"Material";"Authors";"InventoryDate";"PlaquePresence";"Condition";"DefectPhoto";"Accessibility";"CommonInfo";"UNOM";"geoData";"geodata_center";
"2812450";"10";"Мемориальная доска в честь 70-летия Президентского полка";"Барельеф «Смена». Установлена в год 70-летия Президентского полка. Май 2006 г.";"nested data";"Центральный административный округ";"Тверской район";"Кремль, дом Б/Н";"Кремлёвская стена с левой стороны от Троицкого моста ЦАО, Александровский сад";"";"";"";"";"";"nested data";"";"";"";"nested data";"";"";"4303576";"{coordinates=[37.614166711, 55.748603776], type=Point}";"{coordinates=[37.614166711, 55.748603776], type=Point}";
"2812451";"11";"Мемориальная доска Арсенишвили Давиду Ильичу";"Д.И. Арсенишвили 1905-1963 г.г. Основатель и первый директор музея имени Андрея Рублева.";"nested data";"Центральный административный округ";"Таганский район";"Андроньевская пл., дом 10, строение 1";"Андроников монастырь. Вход в Выставочный зал музея Андрея Рублёва.";"";"";"";"";"";"nested data";"";"";"";"nested data";"";"";"4303034";"{coordinates=[37.671201373, 55.74832562], type=Point}";"{coordinates=[37.671201373, 55.74832562], type=Point}";
"2812452";"12";"Мемориальная доска Дёминой Наталии Алексеевне";"Дёмина Наталия Алексеевна 1904-1990 Выдающийся искусствовед, первый научный сотрудник музея имени Андрея Рублева";"nested data";"Центральный административный округ";"Таганский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Андроньевская площадь, дом 10, строение 1";"Андроников монастырь. Выставочный зал музея Андрея Рублева.";"";"";"вертикальная";"Текстовая с барельефным портретом";"";"nested data";"06.03.2016";"";"общее загрязнение";"nested data";"";"Размеры: 80 х 57 см.";"4303034";"{coordinates=[37.671149403, 55.748263386], type=Point}";"{coordinates=[37.671149403, 55.748263386], type=Point}";
"2812453";"13";"Мемориальная доска Рублёву Андрею";"Великий русский художник Андрей Рублёв в начале XV века вместе со своим другом Даниилом Черным расписывал Спасский собор. Здесь же он был погребен в 1430 году.";"nested data";"Центральный административный округ";"Таганский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Андроньевская площадь, дом 10, строение 10";"Установлена на здании Спасского собора Андроникова монастыря.";"21.09.1960";"";"горизонтальная";"Текстовая, шрифт рельефный";"бронза";"nested data";"06.03.2016";"";"общее загрязнение";"nested data";"";"";"4303048";"{coordinates=[37.669996257, 55.749119069], type=Point}";"{coordinates=[37.669996257, 55.749119069], type=Point}";
"2812455";"15";"Мемориальная доска в честь 50-летия Великой Победы солдатам Арбата";"50 лет Великой Победы. Солдатам Арбата от АО Купина. 9 мая 1945";"nested data";"Центральный административный округ";"район Арбат";"Арбат ул., дом 23, строение 1";"";"";"";"";"";"";"nested data";"";"";"";"nested data";"";"";"808";"{coordinates=[37.595448546, 55.750434678], type=Point}";"{coordinates=[37.595448546, 55.750434678], type=Point}";
"2812456";"16";"Мемориальная доска Зенину Александру Ивановичу";"Летчик-штурмовик, совершивший подвиги в Великой Отечественной войне, Герой России, гвардии полковник Александр Иванович Зенин жил в этом доме с 1921 по 1956 год";"nested data";"Центральный административный округ";"район Арбат";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Арбат, дом 23, строение 1";"";"";"";"квадратная";"Текстовая с барельефным изображением самолёта";"бронза";"nested data";"05.12.2022";"";"общее загрязнение";"nested data";"";"Размеры: 65 х 65 см.";"808";"{coordinates=[37.595249814, 55.750363137], type=Point}";"{coordinates=[37.595249814, 55.750363137], type=Point}";
"2812457";"17";"Мемориальная доска Мухиной В.И., Куприну А.В., Фаворскому В.А., Ватагину В.А., Лузину Н.Н.";"Арбат, 25, архитектор Р.Гедике. Дом общества русских врачей с бесплатной лечебницей и аптекой. Девиз общества: «Через науку служить человечеству». В 1900 - е годы здесь в классах рисования живописи и скульптуры под руководством К.Ф.Юона учились В.И.Мухина, А.В.Куприн, В.А.Фаворский, В.А.Ватагин и др. В 1908 - 1935 годах в этом доме жил выдающийся ученый, создатель московской математической школы Н.Н.Лузин (1883 - 1950) 1870.";"nested data";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 25/36, строение 1";"";"";"2000-е годы";"вертикальная";"Вертикальная композиция, состоящая из 6-и горизонтальных текстовых пластин";"";"nested data";"05.12.2022";"";"полная";"nested data";"";"Незначительные следы краски.
Размеры: 57 х 80 см.";"811";"{coordinates=[37.594681971, 55.750133671], type=Point}";"{coordinates=[37.594681971, 55.750133671], type=Point}";
"2812458";"18";"Мемориальная доска Иванову Сергею Васильевичу";"1864-1910 В этом доме жил русский художник Сергей Васильевич Иванов";"nested data";"Центральный административный округ";"район Арбат";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Арбат, дом 30/3, строение 1";"";"01.07.1967";"";"вертикальная";"Текстовая с накладной горизонтальной бронзовой плитой с барельефным портретом";"бронза";"nested data";"05.12.2022";"";"общее загрязнение";"nested data";"";"Размеры: 70 х 60 см.";"815";"{coordinates=[37.590023819, 55.749267026], type=Point}";"{coordinates=[37.590023819, 55.749267026], type=Point}";
"2812459";"19";"Мемориальная доска Казакову Юрию Павловичу";"В этом доме с 1930 по 1964 год жил писатель Юрий Казаков";"nested data";"Центральный административный округ";"район Арбат";"Арбат ул., дом 30/3, строение 1";"";"";"";"";"";"";"nested data";"";"";"";"nested data";"";"";"815";"{coordinates=[37.590011758, 55.749315512], type=Point}";"{coordinates=[37.590011758, 55.749315512], type=Point}";
"2812460";"20";"Мемориальная доска Папанину Ивану Дмитриевичу";"Здесь с 1938 по 1986 жил дважды герой Советского Союза, видный исследователь Арктики, начальник первой в мире дрейфующей станции Северный Полюс-1, доктор географических наук, контр-адмирал Иван Дмитриевич Папанин";"nested data";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 45/24, строение 1";"";"30.01.1996";"";"вертикальная";"Текстовая с барельефным портретом. На заднем плане изображение земного шара с флагом на северном полюсе";"бронза";"nested data";"05.12.2022";"";"общее загрязнение";"nested data";"";"Следы краски.
Размеры: 50 х 80 см.";"835";"{coordinates=[37.588158506, 55.748047243], type=Point}";"{coordinates=[37.588158506, 55.748047243], type=Point}";
"2812461";"21";"Мемориальная доска Шагинян Мариэтте Сергеевне";"В этом доме с 1936 года по 1961 год жила Герой Социалистического Труда лауреат Ленинской и Государственной премий СССР писательница Мариэтта Сергеевна Шагинян";"nested data";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 45/24, строение 1";"";"20.03.1989";"";"горизонтальная";"Текстовая в виде раскрытой книги";"бронза";"nested data";"05.12.2022";"";"полная";"nested data";"";"";"835";"{coordinates=[37.588158506, 55.748047243], type=Point}";"{coordinates=[37.588158506, 55.748047243], type=Point}";
"2812463";"23";"Мемориальная доска Давиденко Александру Александровичу";"В этом доме с 1923 года по 1934 год жил и работал известный советский композитор Александр Александрович Давиденко";"nested data";"Центральный административный округ";"район Арбат";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Арбат, дом 51, строение 1";"";"28.05.1973";"";"вертикальная";"Текстовая с накладным бронзовым барельефным портретом";"бронза";"nested data";"05.12.2022";"";"полная";"nested data";"";"Размеры: 120 х 80 см.";"838";"{coordinates=[37.586666334, 55.747628295], type=Point}";"{coordinates=[37.586666334, 55.747628295], type=Point}";
"2812464";"24";"Мемориальная доска Рыбакову Анатолию Наумовичу";"В этом доме с 1919 по 1933 год жил Анатолий Рыбаков, автор романа «Дети Арбата";"nested data";"Центральный административный округ";"район Арбат";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Арбат, дом 51, строение 1";"";"01.07.2004";"";"горизонтальная";"Текстовая с барельефным портретом";"бронза";"nested data";"05.12.2022";"";"общее загрязнение";"nested data";"";"Размеры: 80 х 105 см. Следы краски.";"838";"{coordinates=[37.586666334, 55.747628295], type=Point}";"{coordinates=[37.586666334, 55.747628295], type=Point}";
"2812465";"25";"Мемориальная доска Пушкину Александру Сергеевичу";"В этом доме жил А.С.Пушкин с начала февраля до середины мая 1831 года";"nested data";"Центральный административный округ";"район Арбат";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Арбат, дом 53, строение 1";"";"01.07.1967";"";"вертикальная";"Текстовая с накладным бронзовым барельефным портретом в медальоне и накладным барельефным изображением лавровой ветви";"бронза";"nested data";"05.12.2022";"";"полная";"nested data";"";"Размеры: 115 х 70 см.";"2127678";"{coordinates=[37.58580411, 55.747451987], type=Point}";"{coordinates=[37.58580411, 55.747451987], type=Point}";
"2812466";"26";"Мемориальная доска Кадырову Ахмаду-Хаджи";"В этом здании в 2000-2004 гг. работал Президент Чеченской республики Ахмад-Хаджи Кадыров, трагически погибший 9 мая 2004 года";"nested data";"Центральный административный округ";"район Арбат";"Новый Арбат ул., дом 19";"Представительство Чеченской республики, у входа";"";"";"";"";"";"nested data";"";"";"";"nested data";"";"";"2127707";"{coordinates=[37.588620909, 55.751919151], type=Point}";"{coordinates=[37.588620909, 55.751919151], type=Point}";
"2812467";"27";"Мемориальная доска Луконину Михаилу Кузьмичу";"В этом доме с 1972 года по 1976 год жил и работал видный советский поэт, лауреат Государственных премий СССР Михаил Кузьмич Луконин";"nested data";"Центральный административный округ";"район Арбат";"Новый Арбат ул., дом 23";"";"";"";"";"";"";"nested data";"";"";"";"nested data";"";"";"28288";"{coordinates=[37.58171127, 55.752044646], type=Point}";"{coordinates=[37.58171127, 55.752044646], type=Point}";
"2812468";"28";"Мемориальная доска в память о формировании 2 - го полка 4 - й дивизии Народного ополчения Куйбышевского района Москвы";"Слава защитникам Родины - народному ополчению Москвы. 6 - 12.VII - 1941 г. В нашей школе формировался 2 - ой полк 4 дивизии народного ополчения Куйбышевского района Москвы, переименованной за боевые отличия в 84 - ю Краснознаменную гвардейскую Карачевскую ордена Суворова дивизию.";"nested data";"Центральный административный округ";"Басманный район";"ЦАО, муниципальный округ Басманный, Армянский переулок, дом 4, строение 2";"";"01.07.1967";"";"вертикальная";"Текстовая с изображением лавровой ветви";"";"nested data";"04.05.2023";"";"полная";"nested data";"";"";"2116376";"{coordinates=[37.636314111, 55.759427742], type=Point}";"{coordinates=[37.636314111, 55.759427742], type=Point}";
"2812469";"29";"Мемориальная доска в память о воинах Московского Народного ополчения";"Живым и павшим воинам Московского народного ополчения. Ваш ратный подвиг будет вечно жить в наших сердцах. 1941-1945 г.г.";"nested data";"Центральный административный округ";"Басманный район";"ЦАО, муниципальный округ Басманный, Армянский пер., дом 4";"";"01.07.1967";"";"горизонтальная";"Текстовая с выгравированным изображением звезды, штыка и вечного огня";"";"nested data";"04.05.2023";"";"полная";"nested data";"";"";"879";"{coordinates=[37.636895391, 55.759294767], type=Point}";"{coordinates=[37.636895391, 55.759294767], type=Point}";
"2812470";"30";"Мемориальная доска в память о формировании истребительного батальона Куйбышевского района города Москвы";"Здесь в июне 1941 г. был сформирован истребительный батальон Куйбышевского района г.Москвы, который в октябре вошел в состав 5 полка Московских рабочих 4 Московской Коммунистической стрелковой дивизии, ставшей впоследствии 155 Краснознаменной Станиславской дивизией.";"nested data";"Центральный административный округ";"Басманный район";"ЦАО, муниципальный округ Басманный, Армянский пер., дом 4";"";"01.07.1967";"";"вертикальная";"Текстовая с выгравированным изображением звезды и лавровой ветви";"";"nested data";"04.05.2023";"";"полная";"nested data";"";"";"879";"{coordinates=[37.636895391, 55.759294767], type=Point}";"{coordinates=[37.636895391, 55.759294767], type=Point}";
"2812471";"31";"Мемориальная доска Тютчеву Фёдору Ивановичу";"В этом доме провел детство и юность Ф.И.Тютчев 1810-1822 гг.";"nested data";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Армянский переулок, дом 11, строение 2";"Российский детский фонд.";"01.07.2003";"";"вертикальная";"С накладным бронзовым барельефным портретом, текст на накладной бронзовой табличке";"бронза";"nested data";"04.05.2023";"";"полная";"nested data";"";"Следы краски.";"4302365";"{coordinates=[37.638231785, 55.759077101], type=Point}";"{coordinates=[37.638231785, 55.759077101], type=Point}";
"2812472";"32";"Мемориальная доска Судакову Константину Викторовичу";"Выдающийся российский физиолог академик Константин Викторович Судаков работал в этом здании с 1956 по 2013 г.";"nested data";"Центральный административный округ";"Тверской район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Моховая улица, дом 11, строение 4";"";"05.07.2017";"";"вертикальная";"Текстовая с накладным бронзовым барельефным портретом";"бронза";"nested data";"21.03.2023";"";"полная";"nested data";"";"";"2100984";"{coordinates=[37.610203576, 55.755909892], type=Point}";"{coordinates=[37.610203576, 55.755909892], type=Point}";
"2812473";"33";"Мемориальная доска Переверзеву Ивану Фёдоровичу";"Выдающийся киноактер, народный артист СССР Иван Федорович Переверзев жил в этом доме с 1967 по 1978 год";"nested data";"Центральный административный округ";"район Хамовники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Большой Афанасьевский переулок, дом 11-13";"";"24.06.2002";"";"вертикальная";"Текстовая с накладным бронзовым барельефным портретом";"";"nested data";"16.04.2023";"";"полная";"nested data";"";"";"15416";"{coordinates=[37.596768414, 55.746180651], type=Point}";"{coordinates=[37.596768414, 55.746180651], type=Point}";
"2812474";"34";"Мемориальная доска Андрееву Николаю Андреевичу";"В этом доме в 1900-1932 годах жил и работал выдающийся советский скульптор Николай Андреевич Андреев";"nested data";"Центральный административный округ";"район Арбат";"ЦАО, муниципальный округ Арбат, Большой Афанасьевский переулок, дом 27, строение 3";"";"01.07.1957";"";"вертикальная";"Текстовая с барельефным портретом и изображением дубовой ветви";"";"nested data";"02.04.2016";"";"общее загрязнение";"nested data";"";"Следы краски. 17.04.2023 - дом на реставрации, загорожен строительной сеткой.";"2127282";"{coordinates=[37.596227166, 55.748673468], type=Point}";"{coordinates=[37.596227166, 55.748673468], type=Point}";
"2812476";"36";"Мемориальная доска памяти павших в Великой Отечественной войне";"Здесь жили павшие в боях за Родину 1941-1945 г.г. (далее следуют фамилии и инициалы 24 погибших воинов)";"nested data";"Центральный административный округ";"Басманный район";"Бакунинская ул., дом 98А, строение 11";"";"";"";"";"";"";"nested data";"";"";"";"nested data";"";"";"1329";"{coordinates=[37.695247768, 55.779532931], type=Point}";"{coordinates=[37.695247768, 55.779532931], type=Point}";
"2812477";"37";"Мемориальная доска Ларионовой Алле Дмитриевне";"В этом доме с 1993 по 2000 годы жила Народная артистка России Ларионова Алла Дмитриевна";"nested data";"Центральный административный округ";"Мещанский район";"Банный пер., дом 7, корпус 2";"";"";"";"";"";"";"nested data";"";"";"";"nested data";"";"";"1434";"{coordinates=[37.638053622, 55.786601877], type=Point}";"{coordinates=[37.638053622, 55.786601877], type=Point}";
"2812478";"38";"Мемориальная доска в память о боях рабочих дружин в декабре 1905 года";"Здесь проходили бои рабочих дружин в декабре 1905 г.";"nested data";"Центральный административный округ";"Пресненский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Баррикадная улица, дом 2/1, строение 1";"Здание Российской медицинской академии последипломного образования.";"";"";"горизонтальная";"Текстовая с рельефным изображением штыков и знамён";"бронза";"nested data";"13.03.2016";"";"общее загрязнение";"nested data";"";"Следы ржавчины.
Размеры: 160 х 160 см.";"2100946";"{coordinates=[37.582982464, 55.75952255], type=Point}";"{coordinates=[37.582982464, 55.75952255], type=Point}";
"2812479";"39";"Мемориальная доска Залке Матэ";"В этом доме с 1921 года по 1926 год жил и работал венгерский писатель-интернационалист Матэ Залка";"nested data";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Новая Басманная улица, дом 10, строение 1";"";"01.07.2007";"";"вертикальная";"Текстовая с барельефным портретом";"бронза";"nested data";"28.02.2016";"";"общее загрязнение";"nested data";"";"Размеры: 80 х 60 см.";"2118847";"{coordinates=[37.656133028, 55.768960741], type=Point}";"{coordinates=[37.656133028, 55.768960741], type=Point}";
"2812480";"40";"Мемориальная доска Фатьянову Алексею Ивановичу";"В этом доме с 1935 по 1948 год жил русский поэт - песенник Алексей Фатьянов «Где же вы теперь, друзья - однополчане, боевые спутники мои»";"nested data";"Центральный административный округ";"Басманный район";"Басманная Нов. ул., дом 10, строение 1";"";"";"";"";"";"";"nested data";"";"";"";"nested data";"";"";"2118847";"{coordinates=[37.656494956, 55.768856541], type=Point}";"{coordinates=[37.656494956, 55.768856541], type=Point}";
"2812481";"41";"Мемориальная доска в память о размещении госпиталя для раненых воинов Советской армии";"В этой больнице с первых дней Великой Отечественной войны 1941-1945 гг. размещался госпиталь для раненых воинов Советской Армии";"nested data";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Новая Басманная улица, дом 26, корпус 1";"ГУЗ города Москвы Городская клиническая больница №6 Департамента здравоохранения города Москвы.";"06.12.1966";"";"вертикальная";"Текстовая с изображением звезды";"";"nested data";"28.02.2016";"";"полная";"nested data";"";"Размеры: 105 х 75 см.";"2116348";"{coordinates=[37.665244074, 55.769482737], type=Point}";"{coordinates=[37.665244074, 55.769482737], type=Point}";
"2812482";"42";"Мемориальная доска Кирику Ивану Васильевичу";"Иван Васильевич Кирик. В 1938-1943 годах работал участковым уполномоченным 66-го отделения милиции г.Москвы. В сентябре 1943 года во время рукопашной схватки закрыл грудью командира роты от штыкового удара, пал смертью храбрых. За мужество и героизм, проявленные в боях с немецко-фашистскими захватчиками посмертно был удостоен звания Герой Советского Союза";"nested data";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Новая Басманная улица, дом 33, строение 1";"";"01.07.2013";"";"вертикальная";"Текстовая с барельефным изображением звезды героя в лавровом венке";"бронза";"nested data";"28.02.2016";"";"полная";"nested data";"";"Размеры: 75 х 55 см.";"2105853";"{coordinates=[37.666690293, 55.769852463], type=Point}";"{coordinates=[37.666690293, 55.769852463], type=Point}";
"2812483";"43";"Мемориальная доска Кузнецову Николаю Ивановичу";"В этом доме с 1940 года по 1942 год жил Герой Советского Союза Николай Иванович Кузнецов";"nested data";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Старая Басманная улица, дом 20, строение 1";"";"04.05.1975";"";"горизонтальная";"Текстовая с изображением меча, щита со звездой и лавровой ветви";"";"nested data";"26.02.2016";"";"полная";"nested data";"";"Размеры: 160 х 90 см.";"2105663";"{coordinates=[37.664062264, 55.766373995], type=Point}";"{coordinates=[37.664062264, 55.766373995], type=Point}";
"2812484";"44";"Мемориальная доска Кастандову Леониду Аркадьевичу";"Выдающийся государственный деятель, внесший крупный вклад в развитие химической промышленности Леонид Аркадьевич Кастандов. Окончил в 1940 году размещавшийся в этом здании Московский институт химического машиностроения";"nested data";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Старая Басманная улица, дом 21/4, строение 1";"Московский государственный университет инженерной экологии";"30.09.2002";"";"вертикальная";"Текстовая с накладной сложной скульптурной композицией, состоящей из молекул, атомов и бронзового рельефного портрета";"бронза";"nested data";"22.02.2016";"";"полная";"nested data";"";"Размеры: 550 х 130 см.";"2106236";"{coordinates=[37.663186992, 55.766911112], type=Point}";"{coordinates=[37.663186992, 55.766911112], type=Point}";
"2812485";"45";"Мемориальная доска Пушкину Александру Сергеевичу и Пушкину Василию Львовичу";"Александр Сергеевич Пушкин бывал в этом доме у своего дяди поэта В. Л. Пушкина";"nested data";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 36, корпус 1";"Дом-музей В.Л.Пушкина";"10.02.1962";"";"вертикальная";"Текстовая";"";"nested data";"23.02.2016";"";"полная";"nested data";"";"";"2105635";"{coordinates=[37.668894153, 55.76896289], type=Point}";"{coordinates=[37.668894153, 55.76896289], type=Point}";
"2812486";"46";"Мемориальная доска Пушкину Александру Сергеевичу";"Здесь был дом, в котором 26 мая (6 июня) 1799 года родился А.С.Пушкин";"nested data";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 40, строение 2";"ГБОУ СОШ № 345 им. А.С.Пушкина";"";"1927 год. Возможно заменена";"вертикальная";"Текстовая с накладным бронзовым барельефным портретом в углублении и лавровой ветвью, переплетённой лентой";"бронза";"nested data";"15.02.2016";"";"полная";"nested data";"";"Незначительные следы краски.
Размеры: 130 х 80 см.";"2116396";"{coordinates=[37.677645601, 55.770697057], type=Point}";"{coordinates=[37.677645601, 55.770697057], type=Point}";
"2812487";"47";"Мемориальная доска в память о формировании дивизии Народного ополчения Бауманского района города Москвы";"В этом здании в суровые дни Великой Отечественной войны (июль 1941 года) была сформирована дивизия народного ополчения Бауманского района города Москвы";"nested data";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 40, строение 2";"ГБОУ СОШ № 345 им. А.С.Пушкина";"07.05.1966";"";"сложной формы";"Текстовая, в форме развевающегося знамени";"";"nested data";"15.02.2016";"";"полная";"nested data";"";"Размеры: 110 х 110 см.";"2116396";"{coordinates=[37.677645601, 55.770697057], type=Point}";"{coordinates=[37.677645601, 55.770697057], type=Point}";
